                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1299,                   1.26,                 1.2816,                0.76564,                0.61459,                0.69201,                0.48404,                 1.2004,                  1.072,                 1.3296,              0.0082576,              0.0082576,              0.0082576
                     47,                 1.1306,                 1.2543,                  1.276,                0.79377,                0.59651,                0.69888,                0.48721,                 1.1898,                 1.0551,                 1.3222,               0.008218,               0.008218,               0.008218
                     48,                 1.1269,                 1.2386,                 1.2767,                0.78419,                0.60891,                0.70449,                0.49173,                 1.2005,                 1.0549,                 1.3187,              0.0081784,              0.0081784,              0.0081784
                     49,                 1.1284,                 1.2462,                 1.2747,                 0.7606,                0.63263,                0.69506,                0.48794,                 1.2064,                 1.0886,                 1.3246,              0.0081388,              0.0081388,              0.0081388
                     50,                 1.1253,                 1.2213,                 1.2708,                0.78995,                0.61455,                0.70813,                0.49671,                 1.1892,                 1.0433,                 1.3239,              0.0080992,              0.0080992,              0.0080992
                     51,                 1.1209,                 1.2206,                  1.271,                0.77984,                0.64318,                0.72364,                0.50755,                 1.1946,                 1.0122,                 1.3227,              0.0080596,              0.0080596,              0.0080596
                     52,                 1.1081,                 1.2101,                 1.2658,                0.77507,                0.63655,                0.71907,                0.50574,                 1.1752,                 1.0153,                 1.2987,                0.00802,                0.00802,                0.00802
                     53,                 1.1158,                 1.2079,                 1.2645,                0.79375,                0.64589,                0.72771,                0.51148,                 1.1708,                 1.0068,                 1.3047,              0.0079804,              0.0079804,              0.0079804
                     54,                 1.1159,                 1.2077,                 1.2658,                0.76863,                0.65265,                0.72346,                0.50919,                 1.1658,                 1.0087,                 1.2994,              0.0079408,              0.0079408,              0.0079408
                     55,                 1.1123,                 1.1931,                 1.2603,                0.80669,                0.62566,                0.72705,                0.50993,                 1.1684,                0.99886,                 1.2908,              0.0079012,              0.0079012,              0.0079012
                     56,                 1.1056,                 1.1992,                 1.2615,                0.76303,                0.65502,                0.72269,                0.50678,                 1.1987,                 1.0088,                 1.3213,              0.0078616,              0.0078616,              0.0078616
                     57,                  1.099,                 1.1795,                 1.2619,                0.79013,                0.63522,                0.71717,                0.50753,                   1.18,                 1.0156,                 1.3028,               0.007822,               0.007822,               0.007822
                     58,                 1.1035,                 1.1716,                 1.2551,                0.78513,                0.65057,                0.72522,                0.51319,                 1.1637,                0.99096,                 1.2966,              0.0077824,              0.0077824,              0.0077824
                     59,                 1.1099,                 1.1757,                 1.2523,                0.76916,                0.65629,                0.72632,                0.51499,                 1.1717,                0.99491,                 1.2975,              0.0077428,              0.0077428,              0.0077428
                     60,                 1.0959,                 1.1639,                 1.2533,                0.76927,                0.66276,                 0.7317,                0.51433,                 1.1709,                 0.9883,                 1.3018,              0.0077032,              0.0077032,              0.0077032
                     61,                 1.0972,                 1.1521,                   1.25,                0.79083,                0.65219,                0.73532,                0.51713,                 1.1756,                0.97459,                 1.3041,              0.0076636,              0.0076636,              0.0076636
                     62,                 1.0939,                 1.1646,                 1.2486,                0.80602,                0.65428,                 0.7441,                0.52081,                 1.1772,                0.97022,                 1.3059,               0.007624,               0.007624,               0.007624
                     63,                 1.0843,                 1.1486,                 1.2441,                 0.7685,                0.65522,                0.73425,                0.51864,                  1.166,                0.97042,                 1.3015,              0.0075844,              0.0075844,              0.0075844
                     64,                 1.0953,                 1.1564,                 1.2475,                0.78949,                0.65582,                0.73683,                0.52274,                 1.1578,                0.96545,                 1.2919,              0.0075448,              0.0075448,              0.0075448
                     65,                 1.0868,                 1.1445,                 1.2427,                0.79562,                0.66071,                0.73745,                0.52371,                  1.157,                0.95957,                 1.2893,              0.0075052,              0.0075052,              0.0075052
                     66,                 1.0883,                 1.1557,                 1.2428,                0.78533,                0.66113,                0.73926,                0.52173,                  1.167,                0.96475,                 1.2904,              0.0074656,              0.0074656,              0.0074656
                     67,                 1.0844,                  1.148,                 1.2419,                0.77043,                0.69549,                0.75024,                0.52987,                 1.1504,                0.94734,                 1.2753,               0.007426,               0.007426,               0.007426
                     68,                 1.0716,                 1.1258,                 1.2348,                0.78385,                0.67612,                0.75309,                0.53153,                 1.1446,                0.94093,                 1.2723,              0.0073864,              0.0073864,              0.0073864
                     69,                 1.0772,                 1.1331,                 1.2408,                0.80191,                0.66662,                0.74711,                 0.5292,                 1.1484,                0.93676,                   1.28,              0.0073468,              0.0073468,              0.0073468
                     70,                 1.0788,                 1.1276,                   1.24,                0.79384,                0.68225,                0.75208,                 0.5251,                 1.1652,                0.94243,                  1.288,              0.0073072,              0.0073072,              0.0073072
                     71,                 1.0858,                 1.1324,                 1.2435,                 0.8098,                0.67061,                0.74897,                0.53018,                 1.1545,                0.93776,                 1.2795,              0.0072676,              0.0072676,              0.0072676
                     72,                 1.0681,                 1.1054,                 1.2314,                0.77556,                0.68772,                0.75361,                0.53637,                 1.1451,                 0.9193,                 1.2774,               0.007228,               0.007228,               0.007228
